ABE;Lehigh Valley International;Allentown;PA
ABI;Abilene Regional;Abilene;TX
ABQ;Albuquerque International;Albuquerque;NM
ABY;Southwest Georgia Regional;Albany;GA
ACT;Waco Regional;Waco;TX
ACV;Arcata;Arcata/Eureka;CA
ADK;Adak;Adak;AK
ADQ;Kodiak;Kodiak;AK
AEX;Alexandria International;Alexandria;LA
AGS;Bush;Augusta;GA
ALB;Albany Cty;Albany;NY
AMA;Amarillo International;Amarillo;TX
ANC;Ted Stevens Anchorage International;Anchorage;AK
ASE;Aspen-Pitkin Co/Sardy;Aspen;CO
ATL;William B Hartsfield-Atlanta Intl;Atlanta;GA
ATW;Outagamie County Regional;Appleton;WI
AUS;Austin-Bergstrom International;Austin;TX
AVL;Asheville Regional;Asheville;NC
AVP;Wilkes-Barre/Scranton Intl;Wilkes-Barre/Scranton;PA
AZO;Kalamazoo County;Kalamazoo;MI
BDL;Bradley International;Windsor Locks;CT
BET;Bethel;Bethel;AK
BFL;Meadows;Bakersfield;CA
BGR;Bangor International;Bangor;ME
BHM;Birmingham International;Birmingham;AL
BIL;Billings Logan Intl;Billings;MT
BIS;Bismarck Municipal;Bismarck;ND
BMI;Central Illinois Regional;Bloomington;IL
BNA;Nashville International;Nashville;TN
BOI;Boise Air Terminal;Boise;ID
BOS;Gen Edw L Logan Intl;Boston;MA
BQK;Glynco Jetport;Brunswick;GA
BQN;Rafael Hernandez;Aguadilla;PR
BRO;Brownsville/S.Padre Island International;Brownsville;TX
BRW;Wiley Post Will Rogers Memorial;Barrow;AK
BTM;Bert Mooney;Butte;MT
BTR;Baton Rouge Metropolitan, Ryan;Baton Rouge;LA
BTV;Burlington International;Burlington;VT
BUF;Buffalo Niagara Intl;Buffalo;NY
BUR;Burbank-Glendale-Pasadena;Burbank;CA
BWI;Baltimore-Washington International;Baltimore;MD
BZN;Gallatin;Bozeman;MT
CAE;Columbia Metropolitan;Columbia;SC
CAK;Akron-Canton Regional;Akron;OH
CDC;Cedar City Muni;Cedar City;UT
CDV;Merle K (Mudhole) Smith;Cordova;AK
CEC;Jack McNamara;Crescent City;CA
CHA;Lovell;Chattanooga;TN
CHO;Charlottesville-Albermarle;Charlottesville;VA
CHS;Charleston AFB/International;Charleston;SC
CIC;Chico Municipal;Chico;CA
CID;Eastern Iowa;Cedar Rapids;IA
CLD;MC Clellan-Palomar Airport;NA;NA
CLE;Cleveland-Hopkins Intl;Cleveland;OH
CLL;Easterwood;College Station;TX
CLT;Charlotte/Douglas International;Charlotte;NC
CMH;Port Columbus Intl;Columbus;OH
CMI;University of Illinois-Willard;Champaign/Urbana;IL
COD;Yellowstone Regional;Cody;WY
COS;City of Colorado Springs Muni;Colorado Springs;CO
CPR;Natrona County Intl;Casper;WY
CRP;Corpus Christi International;Corpus Christi;TX
CRW;Yeager;Charleston;WV
CSG;Columbus Metropolitan;Columbus;GA
CVG;Cincinnati Northern Kentucky Intl;Covington;KY
CWA;Central Wisconsin;Mosinee;WI
DAB;Daytona Beach International;Daytona Beach;FL
DAL;Dallas Love;Dallas;TX
DAY;James M Cox Dayton Intl;Dayton;OH
DBQ;Dubuque Municipal;Dubuque;IA
DCA;Ronald Reagan Washington National;Arlington;VA
DEN;Denver Intl;Denver;CO
DFW;Dallas-Fort Worth International;Dallas-Fort Worth;TX
DHN;Dothan;Dothan;AL
DLH;Duluth International;Duluth;MN
DRO;Durango-La Plata County;Durango;CO
DSM;Des Moines International;Des Moines;IA
DTW;Detroit Metropolitan-Wayne County;Detroit;MI
EGE;Eagle County Regional;Eagle;CO
EKO;Elko Regional;Elko;NV
ELP;El Paso International;El Paso;TX
EUG;Mahlon Sweet;Eugene;OR
EVV;Evansville Regional;Evansville;IN
EWN;Craven County Regional;New Bern;NC
EWR;Newark Intl;Newark;NJ
EYW;Key West International;Key West;FL
FAI;Fairbanks International;Fairbanks;AK
FAR;Hector International;Fargo;ND
FAT;Fresno Yosemite International;Fresno;CA
FAY;Fayetteville Municipal;Fayetteville;NC
FCA;Glacier Park Intl;Kalispell;MT
FLG;Flagstaff Pulliam;Flagstaff;AZ
FLL;Fort Lauderdale-Hollywood Intl;Ft. Lauderdale;FL
FLO;Florence Regional;Florence;SC
FNT;Bishop;Flint;MI
FSD;Joe Foss;Sioux Falls;SD
FSM;Fort Smith Regional;Fort Smith;AR
FWA;Fort Wayne International;Fort Wayne;IN
GCC;Gillette-Campbell County;Gillette;WY
GEG;Spokane Intl;Spokane;WA
GFK;Grand Forks International;Grand Forks;ND
GGG;Gregg County;Longview;TX
GJT;Walker;Grand Junction;CO
GNV;Gainesville Regional;Gainesville;FL
GPT;Gulfport-Biloxi Regional;Gulfport-Biloxi;MS
GRB;Austin Straubel International;Green Bay;WI
GRK;Robert Gray AAF;Killeen;TX
GRR;Kent County International;Grand Rapids;MI
GSO;Piedmont Triad International;Greensboro;NC
GSP;Greenville-Spartanburg;Greer;SC
GTF;Great Falls Intl;Great Falls;MT
GTR;Golden Triangle Regional;Columbus-Starkville-West Point;MS
GUC;Gunnison County;Gunnison;CO
HDN;Yampa Valley;Hayden;CO
HHH;Hilton Head;NA;NA
HLN;Helena Regional;Helena;MT
HNL;Honolulu International;Honolulu;HI
HOU;William P Hobby;Houston;TX
HPN;Westchester Cty;White Plains;NY
HRL;Valley International;Harlingen;TX
HSV;Huntsville International;Huntsville;AL
HTS;Tri-State/Walker-Long;Huntington;WV
IAD;Washington Dulles International;Chantilly;VA
IAH;George Bush Intercontinental;Houston;TX
ICT;Wichita Mid-Continent;Wichita;KS
